id,herd,year,enter.date,exit.date,event,enter,exit,time
151,Columbia North,2008,2008-01-01,2008-12-31,0,0,12,365
151,Columbia North,2009,2009-01-01,2009-12-31,0,0,12,364
151,Columbia North,2010,2010-01-01,2010-12-31,0,0,12,364
151,Columbia North,2011,2011-01-01,2011-11-14,0,0,11,317
152,Columbia North,2003,2003-01-11,2003-12-31,0,0,12,354
152,Columbia North,2004,2004-01-01,2004-12-31,0,0,12,365
152,Columbia North,2005,2005-01-01,2005-12-31,0,0,12,364
152,Columbia North,2006,2006-01-01,2006-12-31,0,0,12,364
152,Columbia North,2007,2007-01-01,2007-12-31,0,0,12,364
152,Columbia North,2008,2008-01-01,2008-12-31,0,0,12,365
152,Columbia North,2009,2009-01-01,2009-12-31,0,0,12,364
152,Columbia North,2010,2010-01-01,2010-01-12,0,0,1,11
153,Columbia South,2003,2003-01-11,2003-12-31,0,0,12,354
153,Columbia South,2004,2004-01-01,2004-12-31,0,0,12,365
153,Columbia South,2005,2005-01-01,2005-08-11,0,0,8,222
154,Monashee,2003,2003-01-11,2003-12-31,0,0,12,354
154,Monashee,2004,2004-01-01,2004-12-31,0,0,12,365
154,Monashee,2005,2005-01-01,2005-12-31,0,0,12,364
154,Monashee,2006,2006-01-01,2006-12-31,0,0,12,364
154,Monashee,2007,2007-01-01,2007-12-31,0,0,12,364
154,Monashee,2008,2008-01-01,2008-12-31,0,0,12,365
154,Monashee,2009,2009-01-01,2009-04-10,1,0,4,99
156,Columbia North,2003,2003-01-11,2003-07-26,1,0,7,196
16,Columbia South,1991,1991-12-03,1991-12-31,0,11,12,28
16,Columbia South,1992,1992-01-01,1992-12-31,0,0,12,365
16,Columbia South,1993,1993-01-01,1993-12-31,0,0,12,364
16,Columbia South,1994,1994-01-01,1994-12-31,0,0,12,364
16,Columbia South,1995,1995-01-01,1995-12-31,0,0,12,364
16,Columbia South,1996,1996-01-01,1996-12-31,0,0,12,365
16,Columbia South,1997,1997-01-01,1997-12-31,0,0,12,364
16,Columbia South,1998,1998-01-01,1998-12-31,0,0,12,364
16,Columbia South,1999,1999-01-01,1999-02-19,0,0,2,49
16,Hart North,2002,2002-12-05,2002-12-31,0,11,12,26
16,Hart North,2003,2003-01-01,2003-12-30,0,0,12,363
16,Wells Gray South,1985,1985-12-28,1985-12-31,0,11,12,3
16,Wells Gray South,1986,1986-01-01,1986-12-31,0,0,12,364
16,Wells Gray South,1987,1987-01-01,1987-12-31,0,0,12,364
16,Wells Gray South,1988,1988-01-01,1988-12-16,0,0,12,350
16-7936,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7936,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7936,Wolverine,2017,2017-01-01,2017-12-31,0,0,12,364
16-7936,Wolverine,2018,2018-01-01,2018-12-31,0,0,12,364
16-7936,Wolverine,2019,2019-01-01,2019-01-28,0,0,1,27
16-7937,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7937,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7937,Wolverine,2017,2017-01-01,2017-12-31,0,0,12,364
16-7937,Wolverine,2018,2018-01-01,2018-12-31,0,0,12,364
16-7937,Wolverine,2019,2019-01-01,2019-01-28,0,0,1,27
16-7938,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7938,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7938,Wolverine,2017,2017-01-01,2017-09-26,1,0,9,268
16-7939,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7939,Wolverine,2016,2016-01-01,2016-02-23,1,0,2,53
16-7940,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7940,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7940,Wolverine,2017,2017-01-01,2017-04-13,1,0,4,102
16-7941,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7941,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7941,Wolverine,2017,2017-01-01,2017-12-31,0,0,12,364
16-7941,Wolverine,2018,2018-01-01,2018-12-31,0,0,12,364
16-7941,Wolverine,2019,2019-01-01,2019-01-28,0,0,1,27
16-7942,Wolverine,2015,2015-11-09,2015-11-22,1,10,11,13
16-7943,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7943,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7943,Wolverine,2017,2017-01-01,2017-12-31,0,0,12,364
16-7943,Wolverine,2018,2018-01-01,2018-12-31,0,0,12,364
16-7943,Wolverine,2019,2019-01-01,2019-01-28,0,0,1,27
16-7944,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7944,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7944,Wolverine,2017,2017-01-01,2017-05-23,1,0,5,142
16-7945,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7945,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7945,Wolverine,2017,2017-01-01,2017-02-20,1,0,2,50
16-7946,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7946,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7946,Wolverine,2017,2017-01-01,2017-12-31,0,0,12,364
16-7946,Wolverine,2018,2018-01-01,2018-12-31,0,0,12,364
16-7946,Wolverine,2019,2019-01-01,2019-01-28,0,0,1,27
16-7947,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7947,Wolverine,2016,2016-01-01,2016-01-19,1,0,1,18
16-7948,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7948,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7948,Wolverine,2017,2017-01-01,2017-12-31,0,0,12,364
16-7948,Wolverine,2018,2018-01-01,2018-12-31,0,0,12,364
16-7948,Wolverine,2019,2019-01-01,2019-01-28,0,0,1,27
16-7949,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7949,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7949,Wolverine,2017,2017-01-01,2017-12-31,0,0,12,364
16-7949,Wolverine,2018,2018-01-01,2018-12-31,0,0,12,364
16-7949,Wolverine,2019,2019-01-01,2019-01-28,0,0,1,27
16-7950,Wolverine,2015,2015-11-09,2015-11-25,0,10,11,16
16-7951,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7951,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7951,Wolverine,2017,2017-01-01,2017-12-31,0,0,12,364
16-7951,Wolverine,2018,2018-01-01,2018-02-13,1,0,2,43
16-7952,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7952,Wolverine,2016,2016-01-01,2016-02-02,1,0,2,32
16-7953,Wolverine,2015,2015-11-09,2015-12-31,0,10,12,52
16-7953,Wolverine,2016,2016-01-01,2016-12-31,0,0,12,365
16-7953,Wolverine,2017,2017-01-01,2017-12-31,0,0,12,364
16-7953,Wolverine,2018,2018-01-01,2018-12-31,0,0,12,364
16-7953,Wolverine,2019,2019-01-01,2019-01-28,0,0,1,27
